FECHA DE INGRESO,FECHA ULTIMO REGISTRO,Estatus,Días Laborados,FECHA DE NACIMIENTO,No de Crédito Infonavit,PUESTO,AREA,TURNO,MUNICIPIO,SALARIO MENSUAL,ESCOLARIDAD,GENERO,Tipo de renuncia
2022-10-03,2024-04-30,activo,575,1995-09-30 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6600.0,PRIMARIA,MASCULINO,ACTIVO
2021-12-13,2024-04-30,activo,869,1995-12-31 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,PREPARATORIA,MASCULINO,ACTIVO
2023-09-18,2024-04-30,activo,225,1997-03-29 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,7500.0,PREPARATORIA,FEMENINO,ACTIVO
2022-05-02,2024-04-30,activo,729,1998-01-18 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,FEMENINO,ACTIVO
2022-07-11,2024-04-30,activo,659,1998-04-16 00:00:00,NO,AUXILIAR ALMACEN,ALMACEN,B,TALA,8400.0,PREPARATORIA,MASCULINO,ACTIVO
2022-01-31,2024-04-30,activo,820,1998-12-06 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,PREPARATORIA,FEMENINO,ACTIVO
2022-03-23,2024-04-30,activo,769,1998-12-26 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,FEMENINO,ACTIVO
2022-07-25,2024-04-30,activo,645,2000-04-28 00:00:00,NO,AUXILIAR ALMACEN,ALMACEN,A,TALA,8400.0,SECUNDARIA,MASCULINO,ACTIVO
2023-10-30,2024-04-30,activo,183,2000-08-28 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PREPARATORIA,FEMENINO,ACTIVO
2022-03-14,2024-04-30,activo,778,2001-10-16 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,ACTIVO
2022-03-14,2024-04-30,activo,778,2002-03-05 00:00:00,NO,INSP CALIDAD,CALIDAD,A,TALA,6000.0,PREPARATORIA,FEMENINO,ACTIVO
2022-04-25,2024-04-30,activo,736,2002-12-02 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,PRIMARIA,MASCULINO,ACTIVO
2023-11-06,2024-04-30,activo,176,2002-12-15 00:00:00,NO,OP PRENSA,PRENSA,C,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
2023-11-30,2024-04-30,activo,152,2004-02-11 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,7500.0,SECUNDARIA,MASCULINO,ACTIVO
2023-11-21,2024-04-30,activo,161,2004-11-23 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
